sample-id	absolute-filepath
SRR504809.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504809.fastq.gz
SRR504922.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504922.fastq.gz
SRR504940.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504940.fastq.gz
SRR504941.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504941.fastq.gz
SRR504942.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504942.fastq.gz
SRR504943.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504943.fastq.gz
SRR504944.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504944.fastq.gz
SRR504945.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504945.fastq.gz
SRR504960.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504960.fastq.gz
SRR504961.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504961.fastq.gz
SRR504962.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504962.fastq.gz
SRR504963.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504963.fastq.gz
SRR504967.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504967.fastq.gz
SRR504968.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504968.fastq.gz
SRR504971.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504971.fastq.gz
SRR504973.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504973.fastq.gz
SRR504974.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504974.fastq.gz
SRR504975.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504975.fastq.gz
SRR504976.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504976.fastq.gz
SRR504977.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504977.fastq.gz
SRR504978.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504978.fastq.gz
SRR504979.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504979.fastq.gz
SRR504980.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504980.fastq.gz
SRR504981.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504981.fastq.gz
SRR504982.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504982.fastq.gz
SRR504985.fastq.gz	/datasets/project_2/vaccine/seqs/SRR504985.fastq.gz
SRR505002.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505002.fastq.gz
SRR505003.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505003.fastq.gz
SRR505004.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505004.fastq.gz
SRR505005.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505005.fastq.gz
SRR505031.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505031.fastq.gz
SRR505141.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505141.fastq.gz
SRR505144.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505144.fastq.gz
SRR505145.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505145.fastq.gz
SRR505146.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505146.fastq.gz
SRR505147.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505147.fastq.gz
SRR505148.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505148.fastq.gz
SRR505149.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505149.fastq.gz
SRR505150.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505150.fastq.gz
SRR505151.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505151.fastq.gz
SRR505152.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505152.fastq.gz
SRR505153.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505153.fastq.gz
SRR505154.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505154.fastq.gz
SRR505155.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505155.fastq.gz
SRR505156.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505156.fastq.gz
SRR505157.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505157.fastq.gz
SRR505158.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505158.fastq.gz
SRR505159.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505159.fastq.gz
SRR505160.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505160.fastq.gz
SRR505161.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505161.fastq.gz
SRR505162.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505162.fastq.gz
SRR505163.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505163.fastq.gz
SRR505164.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505164.fastq.gz
SRR505165.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505165.fastq.gz
SRR505166.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505166.fastq.gz
SRR505167.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505167.fastq.gz
SRR505168.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505168.fastq.gz
SRR505169.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505169.fastq.gz
SRR505170.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505170.fastq.gz
SRR505171.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505171.fastq.gz
SRR505172.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505172.fastq.gz
SRR505173.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505173.fastq.gz
SRR505174.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505174.fastq.gz
SRR505175.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505175.fastq.gz
SRR505176.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505176.fastq.gz
SRR505177.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505177.fastq.gz
SRR505178.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505178.fastq.gz
SRR505179.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505179.fastq.gz
SRR505180.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505180.fastq.gz
SRR505181.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505181.fastq.gz
SRR505182.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505182.fastq.gz
SRR505183.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505183.fastq.gz
SRR505184.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505184.fastq.gz
